ShipmentID,OrderID,ShippingCost,Status
900443,506405,,Delivered
900444,538642,,Delivered
900445,542994,,Delivered
900446,535427,,In Transit
900447,515330,,Lost
900448,512953,,Returned
900449,541404,,Lost
900450,525205,,Delivered
900451,511629,,Lost
900452,546602,,Returned
900453,532514,,Returned
900454,533012,,Lost
900455,529775,,Returned
900456,503099,,In Transit
900457,549401,,Returned
900458,528160,,In Transit
900459,535969,,Delivered
900460,514946,,In Transit
900461,515360,,In Transit
900462,529483,,Returned
900463,536264,,Delivered
900464,530357,,Delivered
900465,519220,,In Transit
900466,504776,,Delivered
900467,517552,,Delivered
900468,505254,,Delivered
900469,530197,,In Transit
900470,509701,,Lost
900471,538744,,Lost
900472,548809,,In Transit
900473,506185,,In Transit
900474,541933,,Returned
900475,501793,,Returned
900476,529851,,Delivered
900477,532379,,Returned
900478,547687,,Delivered
900479,527605,,Lost
900480,521226,,Lost
900481,516806,,Returned
900482,544148,,Lost
900483,545041,,Delivered
900484,503416,,Returned
900485,539695,,Returned
900486,515507,,Lost
900487,501406,,Delivered
900488,530255,,Delivered
900489,543428,,Returned
900490,510571,,In Transit
900491,541449,,Delivered
900492,521792,,In Transit
900493,544388,,Delivered
900494,549372,,In Transit
900495,518912,,Returned
900496,526475,,Lost
900497,506028,,Delivered
900498,504027,,In Transit
900499,508540,,In Transit
900500,526054,,Delivered
900501,514548,,Lost
900502,537906,,Returned
900503,525926,,Returned
900504,528892,,Delivered
900505,532348,,Lost
900506,504208,,In Transit
900507,542886,,Delivered
900508,522110,,Delivered
900509,527345,,In Transit
900510,517172,,In Transit
900511,525950,,Lost
900512,545016,,Lost
900513,514211,,Lost
900514,531126,,Delivered
900515,527878,,Delivered
900516,512811,,Returned
900517,519923,,Lost
900518,548688,,Returned
900519,546849,,Lost
900520,526637,,Returned
900521,521897,,Lost
900522,534524,,Lost
900523,519157,,In Transit
900524,515189,,Returned
900525,530027,,In Transit
900526,506489,,Returned
900527,545481,,In Transit
900528,529091,,Returned
900529,520150,,Delivered
900530,548879,,In Transit
900531,514054,,In Transit
900532,525121,,Delivered
900533,509134,,Delivered
900534,532478,,In Transit
900535,511938,,Lost
900536,506543,,Returned
900537,529211,,Lost
900538,533704,,Lost
900539,509333,,Delivered
900540,504062,,Lost
900541,548538,,Lost
900542,537521,,In Transit
900543,525388,,Returned
900544,535638,,Delivered
900545,518201,,Returned
900546,513439,,Lost
900547,525557,,Returned
900548,502611,,Returned
900549,525180,,In Transit
900550,501625,,Lost
900551,501689,,Lost
900552,542087,,Lost
900553,521706,,Lost
900554,542275,,In Transit
900555,534986,,Lost
900556,543025,,Delivered
900557,502289,,In Transit
900558,532806,,Returned
900559,519146,,Lost
900560,509781,,Lost
900561,522008,,Delivered
900562,508574,,In Transit
900563,504829,,Lost
900564,511277,,Delivered
900565,539306,,In Transit
900566,542306,,Returned
900567,548646,,Lost
900568,501074,,Delivered
900569,502653,,Returned
900570,548967,,Delivered
900571,519831,,Delivered
900572,539850,,Returned
900573,513141,,Lost
900574,522531,,Lost
900575,541416,,Delivered
900576,549171,,Delivered
900577,506808,,Delivered
900578,512129,,Returned
900579,546608,,Delivered
900580,510905,,In Transit
900581,543635,,Delivered
900582,548138,,In Transit
900583,527511,,In Transit
900584,548620,,Lost
900585,539595,,Delivered
900586,532045,,Lost
900587,523578,,Delivered
900588,528630,,Delivered
900589,506699,,Lost
900590,548662,,Returned
900591,531045,,Delivered
900592,523757,,In Transit
900593,533239,,Returned
900594,531963,,Lost
900595,505776,,Returned
900596,526885,,Returned
900597,535546,,Delivered
900598,502173,,In Transit
900599,546544,,In Transit
900600,506258,,In Transit
900601,502226,,Delivered
900602,501236,,Delivered
900603,534869,,Returned
900604,539423,,In Transit
900605,525572,,In Transit
900606,524493,,Lost
900607,520795,,In Transit
900608,507354,,In Transit
900609,502676,,Lost
900610,524404,,Delivered
900611,524371,,Delivered
900612,503308,,Delivered
900613,507283,,In Transit
900614,521404,,Lost
900615,519221,,Lost
900616,537918,,Delivered
900617,539331,,Returned
900618,534153,,Returned
900619,546321,,In Transit
900620,514500,,In Transit
900621,545598,,Returned
900622,535682,,Lost
900623,519917,,Delivered
900624,508450,,In Transit
900625,546989,,Delivered
900626,513040,,Lost
900627,543539,,Lost
900628,549790,,In Transit
900629,515993,,Returned
900630,509722,,Lost
900631,536565,,Lost
900632,538441,,Lost
900633,542581,,In Transit
900634,528741,,Delivered
900635,523694,,Lost
900636,522499,,Lost
900637,526412,,Returned
900638,529416,,Delivered
900639,519677,,Lost
900640,535194,,Delivered
900641,517948,,Lost
900642,529332,,Lost
900643,512797,,Returned
900644,505965,,In Transit
900645,535495,,In Transit
900646,519566,,Lost
900647,502161,,Delivered
900648,533259,,Delivered
900649,540390,,Delivered
900650,519979,,Returned
900651,525819,,Lost
900652,520863,,Delivered
900653,534073,,In Transit
900654,538839,,Lost
900655,526202,,Returned
900656,514942,,Delivered
900657,539888,,Returned
900658,533330,,Lost
900659,542313,,Delivered
900660,510437,,Lost
900661,512059,,In Transit
900662,502956,,Delivered
900663,539442,,Delivered
900664,511008,,Returned
900665,532718,,Delivered
900666,549402,,Returned
900667,540045,,Lost
900668,542706,,Returned
900669,510690,,Delivered
900670,503152,,In Transit
900671,547179,,In Transit
900672,523374,,Returned
900673,524066,,Delivered
900674,540075,,In Transit
900675,533328,,Lost
900676,524948,,Lost
900677,520066,,Lost
900678,526423,,Lost
900679,504259,,Delivered
900680,540839,,Returned
900681,509720,,Delivered
900682,502842,,Returned
900683,507702,,In Transit
900684,548948,,Delivered
900685,504578,,Lost
900686,520997,,Lost
900687,517954,,In Transit
900688,548091,,Lost
900689,539489,,Returned
900690,501284,,In Transit
900691,513804,,Lost
900692,516755,,Returned
900693,543647,,Lost
900694,516552,,In Transit
900695,504707,,Returned
900696,526303,,In Transit
900697,546754,,Delivered
900698,501715,,Lost
900699,503680,,Returned
900700,519313,,Returned
900701,507707,,In Transit
900702,506540,,Delivered
900703,528500,,In Transit
900704,522684,,Lost
900705,515487,,Delivered
900706,519764,,Lost
900707,535071,,In Transit
900708,524897,,In Transit
900709,524702,,Delivered
900710,500455,,In Transit
900711,533747,,In Transit
900712,513926,,Delivered
900713,549564,,Delivered
900714,514150,,In Transit
900715,533497,,Returned
900716,533337,,Returned
900717,543959,,Lost
900718,536265,,Lost
900719,530133,,Returned
900720,506298,,Delivered
900721,538989,,Returned
900722,511269,,Delivered
900723,533143,,Lost
900724,517172,,Delivered
900725,529293,,In Transit
900726,519766,,Delivered
900727,521081,,Lost
900728,540347,,Returned
900729,535900,,Delivered
900730,538593,,Lost
900731,528062,,Delivered
900732,539848,,Delivered
900733,530277,,In Transit
900734,521899,,In Transit
900735,539502,,Returned
900736,540283,,Lost
900737,548384,,Lost
900738,529084,,In Transit
900739,548647,,Returned
900740,537969,,Returned
900741,509351,,In Transit
900742,500282,,Returned
900743,522622,,Delivered
900744,512510,,In Transit
900745,501698,,In Transit
900746,548740,,Returned
900747,500126,,Lost
900748,514512,,Lost
900749,519450,,Lost
900750,545637,,In Transit
900751,548819,,Returned
900752,529373,,Lost
900753,519423,,Delivered
900754,528356,,Lost
900755,545767,,Lost
900756,510090,,In Transit
900757,534682,,Lost
900758,537944,,Returned
900759,527904,,Lost
900760,521041,,Returned
900761,529925,,In Transit
900762,521992,,Delivered
900763,525727,,Lost
900764,547953,,In Transit
900765,532514,,In Transit
900766,511037,,Returned
900767,515590,,Delivered
900768,500836,,Returned
900769,506012,,Lost
900770,515926,,Lost
900771,536572,,Delivered
900772,534387,,Delivered
900773,540517,,In Transit
900774,539017,,In Transit
900775,534288,,Delivered
900776,536747,,Lost
900777,518294,,Returned
900778,505485,,Returned
900779,542861,,In Transit
900780,507186,,Lost
900781,517500,,Returned
900782,527006,,Delivered
900783,528709,,In Transit
900784,520157,,Lost
900785,511744,,Lost
900786,527961,,In Transit
900787,507846,,Lost
900788,534776,,Delivered
900789,541889,,Returned
900790,519318,,Lost
900791,507163,,Delivered
900792,500080,,Returned
900793,525573,,In Transit
900794,542028,,Delivered
900795,536691,,Delivered
900796,541487,,Returned
900797,547495,,In Transit
900798,517211,,Lost
900799,516751,,Lost
900800,538746,,Returned
900801,547768,,Returned
900802,535141,,Lost
900803,518301,,Returned
900804,517856,,Lost
900805,511330,,Lost
900806,511548,,Delivered
900807,507904,,Lost
900808,520906,,Delivered
900809,523430,,Delivered
900810,521539,,Lost
900811,514794,,In Transit
900812,538553,,Returned
900813,546694,,In Transit
900814,528161,,In Transit
900815,515973,,Delivered
900816,522588,,In Transit
900817,513244,,In Transit
900818,502497,,Lost
900819,510211,,Delivered
900820,509745,,Delivered
900821,511935,,In Transit
900822,529187,,Delivered
900823,539824,,Returned
900824,502975,,In Transit
900825,546273,,In Transit
900826,524212,,Lost
900827,540648,,Lost
900828,516244,,Delivered
900829,510005,,Returned
900830,529720,,Delivered
900831,523289,,In Transit
900832,511642,,Lost
900833,504179,,Returned
900834,521308,,Returned
900835,541190,,Lost
900836,546371,,Delivered
900837,533253,,Lost
900838,545486,,Lost
900839,538926,,In Transit
900840,538327,,Lost
900841,539016,,In Transit
900842,502936,,In Transit
900843,542705,,Delivered
900844,549085,,Returned
900845,500142,,Delivered
900846,503559,,Delivered
900847,529061,,In Transit
900848,538268,,Returned
900849,545770,,In Transit
900850,509313,,Delivered
900851,502810,,Delivered
900852,516162,,Delivered
900853,527368,,Lost
900854,547400,,Delivered
900855,548917,,Delivered
900856,508434,,Lost
900857,518962,,Lost
900858,518043,,Returned
900859,505845,,Returned
900860,517840,,Delivered
900861,540165,,Returned
900862,548616,,In Transit
900863,540267,,In Transit
900864,501519,,Delivered
900865,534892,,In Transit
900866,525857,,Lost
900867,504120,,Delivered
900868,546086,,Returned
900869,525291,,Returned
900870,513053,,Lost
900871,512072,,Returned
900872,525945,,Delivered
900873,521737,,Delivered
900874,525666,,In Transit
900875,513774,,Lost
900876,506568,,In Transit
900877,507906,,Delivered
900878,518066,,Returned
900879,521978,,Lost
900880,506632,,Lost
900881,509408,,Delivered
900882,519768,,Returned
900883,529661,,Returned
900884,525811,,Returned
900885,514911,,Lost
900886,537808,,Lost
900887,531579,,Lost
900888,535598,,Lost
900889,539646,,Returned
900890,538736,,Delivered
900891,544982,,Returned
900892,504164,,Lost
900893,545759,,Lost
900894,536072,,Returned
900895,506279,,Returned
900896,520525,,Lost
900897,518217,,Delivered
900898,500482,,In Transit
900899,507250,,In Transit
900900,547880,,Delivered
900901,527743,,Lost
900902,520606,,Returned
900903,527980,,Returned
900904,505472,,In Transit
900905,534685,,Delivered
900906,520716,,Delivered
900907,543310,,In Transit
900908,509461,,Returned
900909,505972,,Returned
900910,544863,,Delivered
900911,522349,,In Transit
900912,531823,,Lost
900913,528240,,Delivered
900914,507476,,Lost
900915,511416,,Lost
900916,534741,,Returned
900917,504837,,Delivered
900918,528017,,In Transit
900919,522136,,In Transit
900920,545459,,Lost
900921,538114,,Returned
900922,543493,,Delivered
900923,531301,,Lost
900924,500075,,Lost
900925,537077,,Delivered
900926,543066,,Returned
900927,500949,,Lost
900928,536955,,In Transit
900929,541529,,In Transit
900930,548521,,Lost
900931,543580,,Returned
900932,532549,,Returned
900933,503093,,Returned
900934,506510,,Delivered
900935,533400,,Delivered
900936,546739,,In Transit
900937,537737,,Returned
900938,522802,,Returned
900939,532454,,Lost
900940,502798,,In Transit
900941,544586,,Delivered
900942,510669,,In Transit
900943,508764,,Delivered
900944,501679,,Delivered
900945,549589,,Returned
900946,533968,,In Transit
900947,501014,,Lost
900948,522958,,Delivered
900949,507044,,In Transit
900950,516470,,In Transit
900951,549547,,Delivered
900952,547074,,In Transit
900953,507951,,Returned
900954,540103,,In Transit
900955,540577,,Lost
900956,536147,,In Transit
900957,537378,,In Transit
900958,509075,,Delivered
900959,540787,,Lost
900960,528849,,In Transit
900961,501896,,In Transit
900962,506946,,Returned
900963,535239,,Delivered
900964,531619,,Returned
900965,525199,,Delivered
900966,541379,,In Transit
900967,519941,,In Transit
900968,544688,,Returned
900969,547673,,In Transit
900970,529324,,Returned
900971,528860,,Lost
900972,548847,,Returned
900973,518799,,In Transit
900974,530058,,Delivered
900975,506938,,Delivered
900976,526804,,In Transit
900977,541453,,Lost
900978,500224,,In Transit
900979,532545,,Lost
900980,542427,,Lost
900981,515129,,In Transit
900982,547720,,Delivered
900983,548044,,Lost
900984,505679,,Delivered
900985,526066,,Lost
900986,536092,,Lost
900987,526681,,Delivered
900988,534431,,Lost
900989,540048,,In Transit
900990,527951,,In Transit
900991,531268,,Lost
900992,522823,,In Transit
900993,524172,,Returned
900994,549400,,Returned
900995,517477,,Lost
900996,512482,,Returned
900997,546008,,Delivered
900998,536408,,In Transit
900999,540095,,In Transit
901000,510311,,Delivered
901001,524297,,In Transit
901002,526911,51.83,In Transit
901003,537209,30.18,Lost
901004,527105,94.27,Returned
901005,503154,55.55,Lost
901006,528191,83.98,Returned
901007,548191,176.95,In Transit
901008,537339,95.19,Returned
901009,509809,36.02,Lost
901010,505333,66.2,Lost
901011,524360,66.6,Returned
901012,507961,72.74,Lost
901013,545173,130.11,In Transit
901014,522534,168.75,In Transit
901015,541360,109.42,Lost
901016,544321,117.14,Delivered
901017,524299,143.53,In Transit
901018,514794,77.34,Lost
901019,500824,151.54,In Transit
901020,536851,144.61,Delivered
901021,510449,140.46,Returned
901022,507919,191.26,Returned
901023,513190,63.61,Delivered
901024,515534,169.3,Returned
901025,519404,196.61,Delivered
901026,532692,85.17,Lost
901027,537328,62.52,In Transit
901028,513341,95.6,Returned
901029,541188,186.1,In Transit
901030,546073,184.37,In Transit
901031,508013,71.75,In Transit
901032,507972,106.66,Lost
901033,512940,30.87,Lost
901034,518730,133.37,Delivered
901035,522793,127.28,Returned
901036,523141,28.66,Delivered
901037,528605,115.46,Returned
901038,530517,21.2,Returned
901039,508907,167.64,Lost
901040,528745,24.47,Returned
901041,515299,50.53,Lost
901042,545821,163.02,Lost
901043,519117,76.87,Returned
901044,521720,136.47,Lost
901045,532415,77.91,Lost
901046,533655,136.96,Lost
901047,537270,60.6,In Transit
901048,523775,45.38,Returned
901049,503488,43.26,Returned
901050,515247,64.13,Lost
901051,509605,130.8,Lost
901052,543377,32.89,Delivered
901053,522983,163.46,Returned
901054,519495,119.88,Lost
901055,529440,122.39,Delivered
901056,518334,123.66,In Transit
901057,542507,185.64,In Transit
901058,507324,167.85,Returned
901059,537486,85.41,Lost
901060,504479,92.56,Lost
901061,547532,52.38,Lost
901062,527844,57.61,Delivered
901063,548386,176.73,In Transit
901064,521016,112.93,In Transit
901065,526801,103.15,In Transit
901066,530237,86.58,Lost
901067,542293,80.65,Returned
901068,535260,146.73,Lost
901069,525964,148.5,Delivered
901070,534490,50.13,Returned
901071,536458,176.76,Returned
901072,528083,140.3,Delivered
901073,507072,32.56,Delivered
901074,543000,138.17,Returned
901075,512734,135.95,Lost
901076,501378,152.77,In Transit
901077,542973,117.9,In Transit
901078,541999,78.75,Lost
901079,543061,98.84,Returned
901080,503552,162.17,Returned
901081,503824,157.46,In Transit
901082,527421,115.94,Delivered
901083,540227,178.9,Lost
901084,506654,27.41,Returned
901085,505166,90.06,Returned
901086,522405,192.17,Delivered
901087,525184,76.63,Returned
901088,505002,81.88,Delivered
901089,528826,123.81,Returned
901090,535283,134.96,In Transit
901091,530782,113.31,Lost
901092,505554,140.8,Delivered
901093,519131,72.79,Delivered
901094,530699,176.8,Delivered
901095,519479,185.38,In Transit
901096,522551,41.41,Delivered
901097,502739,28.32,In Transit
901098,536897,146.81,Lost
901099,534687,159.19,Lost
901100,510976,144.16,In Transit
901101,542324,138.15,Delivered
901102,532650,103.23,In Transit
901103,523492,137.56,Delivered
901104,536659,132.25,Returned
901105,546721,183.73,Delivered
901106,510065,81.87,Returned
901107,543370,65.42,Lost
901108,518872,118.72,Lost
901109,522916,138.13,In Transit
901110,519798,122.34,Lost
901111,510541,199.89,Delivered
901112,532526,56.43,Returned
901113,537900,26.38,Delivered
901114,506053,63.87,Returned
901115,517019,161.07,Lost
901116,545828,34.96,In Transit
901117,524050,80.25,Lost
901118,523208,21.71,Returned
901119,530762,164.27,Returned
901120,535821,177.05,Returned
901121,502436,73.53,Returned
901122,517453,166.92,Lost
901123,519667,29.56,Lost
901124,527833,197.08,Returned
901125,536850,127.82,Returned
901126,541299,140.08,In Transit
901127,521734,102.57,In Transit
901128,509906,137.18,Lost
901129,507302,79.41,In Transit
901130,505469,144.78,Delivered
901131,544511,170.05,Returned
901132,508716,115.53,Lost
901133,501969,70.32,Lost
901134,504757,55.26,Returned
901135,500160,50.53,Returned
901136,541232,195.58,In Transit
901137,509494,35.57,Lost
901138,530286,136.57,Returned
901139,525351,187.19,Returned
901140,545625,48.23,In Transit
901141,508434,36.59,Lost
901142,500448,36.33,In Transit
901143,502501,133.63,Delivered
901144,549706,189.77,Delivered
901145,503565,78.29,Returned
901146,514196,105.42,Delivered
901147,547758,56.39,Returned
901148,511058,109.54,In Transit
901149,539034,110.56,Lost
901150,518324,120.56,Returned
901151,527493,158.79,Lost
901152,509592,109.59,Delivered
901153,504851,129.98,In Transit
901154,506675,30.55,Lost
901155,506717,194.64,Lost
901156,536402,184.4,Returned
901157,549194,157.59,In Transit
901158,527306,71.53,Delivered
901159,502729,51.79,In Transit
901160,509736,29.01,Returned
901161,531898,148.33,Returned
901162,536122,53.41,In Transit
901163,504633,76.19,Delivered
901164,542914,25.03,Returned
901165,535765,35.43,Delivered
901166,533848,88.26,Lost
901167,512536,81.49,Returned
901168,506671,177.14,Delivered
901169,531903,124.0,Returned
901170,541322,98.3,Lost
