ReturnID,OrderID,ReturnDate,ReturnReason
800049,531173,2023-10-12 16:14:40,WRONG ITEM
800050,518831,2024-07-10 04:06:31,Changed Mind
800051,537667,2022-07-23 04:26:26,Defective
800052,545059,2023-04-19 01:47:36,Defective
800053,516031,2023-07-07 07:49:52,Defective
800054,544663,2024-02-23 23:43:02,Wrong Item
800055,549589,2022-03-10 18:18:01,Defective
800056,528959,2023-07-20 23:46:51,Changed Mind
800057,502568,2024-07-09 02:37:57,Defective
800058,510293,2022-02-11 01:25:56,nan
800059,516633,2024-07-24 20:43:27,Changed Mind
800060,509428,2023-11-07 23:07:48,WRONG ITEM
800061,513289,2024-07-03 18:06:43,Defective
800062,504261,2024-11-19 02:37:35,Wrong Item
800063,526230,2022-03-23 18:02:29,defective
800064,503202,2024-12-16 01:54:25,defective
800065,513294,2024-05-03 10:53:42,defective
800066,522920,2023-10-18 13:05:09,Defective
800067,500376,2023-02-19 02:25:37,WRONG ITEM
800068,519284,2023-06-06 06:19:35,Changed Mind
800069,528000,2023-07-06 21:15:52,Defective
800070,541752,2023-07-15 08:53:51,WRONG ITEM
800071,516819,2024-11-23 15:23:07,defective
800072,513540,2024-03-28 17:50:08,nan
800073,512803,2024-07-06 17:21:38,Changed Mind
800074,547434,2022-06-02 01:43:48,defective
800075,509779,2022-11-08 03:28:07,Wrong Item
800076,528278,2024-12-06 08:51:38,Changed Mind
800077,506998,2023-06-17 19:50:13,WRONG ITEM
800078,529152,2024-01-02 08:36:26,Defective
800079,509373,2022-05-09 18:40:25,Defective
800080,516335,2022-12-18 04:07:35,nan
800081,517600,2023-11-04 11:06:13,nan
800082,513252,2024-09-05 20:17:04,nan
800083,542136,2024-01-16 15:46:00,Wrong Item
800084,544246,2024-10-10 13:46:53,Changed Mind
800085,548945,2022-10-18 11:44:02,defective
800086,540866,2024-05-02 17:17:20,defective
800087,503668,2023-10-19 06:15:28,nan
800088,524682,2023-10-21 11:41:53,Wrong Item
800089,531272,2023-02-20 23:03:15,Changed Mind
800090,544162,2022-06-21 00:38:34,nan
800091,503993,2022-11-12 10:59:43,nan
800092,547413,2022-11-02 05:51:08,Changed Mind
800093,529216,2022-06-26 08:02:01,Defective
800094,505870,2024-02-27 07:59:28,Changed Mind
800095,508154,2022-07-07 04:36:25,nan
800096,539797,2022-03-18 14:18:32,Changed Mind
800097,531065,2023-05-30 08:14:15,nan
800098,511467,2022-11-16 00:31:47,Defective
800099,532813,2024-02-14 00:31:06,Changed Mind
800100,543207,2023-07-20 02:18:51,nan
800101,512967,2023-05-03 03:23:15,Wrong Item
800102,544665,2022-08-03 11:56:13,nan
800103,535223,2022-10-27 20:54:49,WRONG ITEM
800104,540289,2023-07-08 03:16:26,Wrong Item
800105,538767,2023-03-13 15:14:18,Defective
800106,522767,2024-06-29 19:52:48,Wrong Item
800107,547181,2023-07-10 05:17:51,WRONG ITEM
800108,521412,2022-08-25 05:40:54,Defective
800109,518506,2023-02-16 06:44:11,defective
800110,516984,2022-10-31 07:58:54,Wrong Item
800111,526718,2022-10-17 20:04:33,defective
800112,510032,2023-10-27 15:39:05,nan
800113,525011,2024-12-30 10:13:04,defective
800114,501952,2022-06-02 09:41:20,Changed Mind
800115,537150,2023-11-12 06:07:13,Defective
800116,537199,2023-12-09 12:17:26,Changed Mind
800117,515206,2022-02-27 01:12:10,nan
800118,528652,2023-05-29 07:31:12,nan
800119,526591,2024-11-24 20:47:27,defective
800120,509283,2024-03-09 12:49:44,WRONG ITEM
800121,542750,2022-08-06 08:35:10,defective
800122,511625,2022-05-26 23:48:14,Wrong Item
800123,536595,2024-07-04 12:22:46,Defective
800124,500607,2023-08-13 03:18:23,Wrong Item
800125,517114,2022-08-19 18:56:43,Wrong Item
800126,508534,2022-03-05 10:32:15,nan
800127,543920,2022-11-07 11:44:53,Changed Mind
800128,539688,2023-10-22 22:19:43,Defective
800129,545122,2023-04-28 05:09:47,Defective
800130,527669,2024-12-11 19:04:25,Defective
800131,536956,2022-01-31 10:02:57,Wrong Item
800132,515907,2022-04-11 04:19:36,defective
800133,535727,2022-11-22 09:36:19,Wrong Item
800134,514924,2023-03-27 12:49:24,WRONG ITEM
800135,509132,2022-08-28 10:40:35,Defective
800136,518608,2022-01-13 20:47:10,nan
800137,525768,2023-09-11 18:47:05,WRONG ITEM
800138,515783,2023-09-23 06:31:11,Changed Mind
800139,522407,2023-10-09 05:12:27,defective
800140,522705,2024-04-04 20:01:00,defective
800141,540226,2023-01-09 06:24:42,Defective
800142,534307,2022-06-14 00:48:44,Defective
800143,522196,2024-05-11 17:59:12,WRONG ITEM
800144,503063,2022-01-10 08:36:08,Wrong Item
800145,519297,2023-10-03 05:03:46,WRONG ITEM
800146,540416,2023-01-15 18:12:00,defective
800147,544356,2022-07-03 22:27:03,defective
800148,520314,2023-08-21 22:57:32,Defective
800149,514952,2024-12-17 15:10:07,nan
800150,504135,2022-10-13 23:52:25,Defective
800151,524362,2023-06-27 18:45:37,nan
800152,538417,2023-04-02 01:04:08,defective
800153,504099,2023-08-18 01:57:11,defective
800154,520459,2022-12-17 19:20:08,Defective
800155,546031,2022-12-07 01:59:35,nan
800156,506144,2023-05-12 20:56:47,Wrong Item
800157,520466,2022-06-06 13:28:09,Defective
800158,524898,2024-04-10 05:50:40,WRONG ITEM
800159,529023,2022-05-12 09:37:36,Changed Mind
800160,507127,2023-02-14 20:59:15,WRONG ITEM
800161,547254,2024-04-16 11:15:01,Defective
800162,540638,2022-10-13 13:15:58,nan
800163,508911,2023-01-30 03:13:02,Defective
800164,523136,2024-08-14 16:08:10,WRONG ITEM
800165,530660,2023-03-27 00:58:44,Wrong Item
800166,525501,2024-10-22 17:45:58,WRONG ITEM
800167,544694,2023-10-30 17:31:15,nan
800168,523482,2023-02-23 05:07:55,defective
800169,549888,2023-09-14 15:12:12,Wrong Item
800170,506026,2022-04-02 07:06:14,nan
800171,504505,2024-04-14 20:29:13,nan
800172,525752,2023-07-29 09:56:57,WRONG ITEM
800173,538865,2022-03-02 01:52:58,Changed Mind
800174,519933,2022-09-24 16:26:53,Wrong Item
800175,548744,2023-07-20 02:30:56,WRONG ITEM
800176,530665,2022-07-09 19:11:03,Defective
800177,512409,2022-09-03 23:24:42,nan
800178,527563,2023-10-21 02:30:41,nan
800179,504756,2022-01-10 14:22:48,WRONG ITEM
800180,500343,2024-05-16 20:09:55,defective
800181,540779,2023-08-11 23:58:53,defective
800182,522321,2024-02-29 17:00:24,defective
800183,513018,2024-01-11 00:20:03,nan
800184,502735,2024-02-08 23:40:12,Changed Mind
800185,507676,2024-12-26 01:42:41,nan
800186,517935,2023-11-27 14:25:29,WRONG ITEM
800187,542312,2024-04-14 15:18:55,defective
800188,543682,2023-09-23 00:43:11,defective
800189,507018,2023-09-24 18:52:42,WRONG ITEM
800190,525946,2022-07-04 22:01:00,defective
800191,549367,2023-11-05 08:06:34,Defective
800192,541923,2024-04-29 06:37:28,nan
800193,547364,2022-07-27 20:43:33,Defective
800194,540619,2022-04-01 04:00:23,Changed Mind
800195,503356,2022-12-08 00:21:51,WRONG ITEM
800196,541606,2022-03-16 21:30:03,Wrong Item
800197,545558,2022-08-29 15:44:35,Wrong Item
800198,500113,2023-10-02 11:10:41,Defective
800199,524229,2023-12-05 16:07:01,Changed Mind
800200,500413,2022-08-14 01:50:00,Changed Mind
800201,522977,2023-02-13 07:23:50,Changed Mind
800202,520455,2024-12-04 14:56:15,defective
800203,504176,2022-03-06 10:55:05,nan
800204,543739,2023-01-24 17:39:30,Wrong Item
800205,542583,2022-08-13 09:08:57,nan
800206,546635,2023-12-18 08:02:14,Defective
800207,528099,2024-12-19 09:18:51,nan
800208,527849,2024-01-28 04:48:11,Wrong Item
800209,531094,2024-02-19 12:21:18,defective
800210,540747,2023-01-08 12:11:39,Changed Mind
800211,527800,2022-02-17 10:58:39,Changed Mind
800212,521164,2023-02-12 04:20:52,Defective
800213,531249,2024-10-29 09:06:46,Changed Mind
800214,521763,2023-08-13 03:11:31,WRONG ITEM
800215,509064,2024-07-03 20:34:03,defective
800216,510539,2024-02-10 00:21:30,nan
800217,524269,2024-11-15 21:12:03,Changed Mind
800218,528968,2022-08-14 21:56:50,Wrong Item
800219,534365,2024-10-04 12:59:14,Defective
800220,528231,2024-08-20 07:28:27,defective
800221,527668,2023-05-23 13:55:08,WRONG ITEM
800222,544162,2022-12-20 22:16:57,WRONG ITEM
800223,542803,2023-07-09 06:50:36,Changed Mind
800224,504819,2022-01-10 01:09:20,nan
800225,520602,2022-04-22 11:04:18,defective
800226,516497,2022-04-27 03:54:57,nan
800227,503099,2024-04-21 06:45:43,nan
800228,515393,2023-09-06 05:22:15,Wrong Item
800229,508795,2024-11-24 01:41:39,Wrong Item
800230,522600,2023-03-12 06:58:45,Changed Mind
800231,536137,2023-05-12 09:26:26,Changed Mind
800232,522325,2024-05-28 10:42:39,defective
800233,535179,2024-10-13 08:19:59,Wrong Item
800234,522478,2024-07-24 18:39:53,Defective
800235,529350,2024-05-25 10:46:43,Wrong Item
800236,520403,2024-06-13 06:01:51,Wrong Item
800237,545730,2022-06-15 21:00:30,Changed Mind
800238,511893,2023-03-05 18:02:25,Wrong Item
800239,508750,2023-03-09 03:50:48,Changed Mind
800240,540531,2023-02-18 16:18:02,nan
800241,543788,2024-07-20 18:57:51,nan
800242,544730,2022-12-24 17:41:25,Wrong Item
800243,520379,2024-02-14 18:06:44,Wrong Item
800244,538118,2023-02-19 22:05:33,Changed Mind
800245,520487,2024-08-04 19:15:23,Defective
800246,525360,2023-04-30 07:45:53,WRONG ITEM
800247,532129,2023-09-08 14:24:34,Defective
800248,512291,2023-01-19 01:21:08,defective
800249,526265,2023-11-28 06:47:48,defective
800250,533176,2022-09-03 18:20:10,nan
800251,524628,2023-10-17 18:58:39,Changed Mind
800252,546338,2023-07-18 20:32:01,Wrong Item
800253,511920,2022-09-01 04:57:52,Wrong Item
800254,503955,2023-07-11 02:30:26,Changed Mind
800255,532445,2024-03-18 03:07:41,nan
800256,547075,2022-12-04 19:47:49,Wrong Item
800257,515553,2023-02-20 14:03:03,nan
800258,532355,2022-10-14 03:35:02,WRONG ITEM
800259,502551,2024-11-18 14:42:48,Wrong Item
800260,514733,2022-02-20 10:06:36,nan
800261,532272,2024-10-10 23:51:51,WRONG ITEM
800262,528656,2023-09-01 13:15:01,Changed Mind
800263,517928,2024-01-26 01:50:10,nan
800264,506615,2023-07-07 14:26:50,Changed Mind
800265,503515,2022-06-22 02:19:03,Wrong Item
800266,539486,2022-12-08 17:57:36,nan
800267,535379,2023-01-01 18:36:15,WRONG ITEM
800268,542347,2024-03-05 12:20:38,Wrong Item
800269,530771,2024-03-17 04:10:50,defective
800270,525469,2022-11-19 23:27:32,Changed Mind
800271,547808,2023-04-27 00:47:13,nan
800272,506581,2022-09-03 09:22:26,WRONG ITEM
800273,524475,2022-05-04 08:40:12,Wrong Item
800274,535598,2022-04-14 03:40:21,nan
800275,511591,2024-01-27 10:02:26,defective
800276,525739,2022-12-23 17:01:58,WRONG ITEM
800277,528559,2023-12-20 22:15:25,Changed Mind
800278,529317,2022-08-31 17:51:03,nan
800279,532493,2024-12-15 04:29:40,Changed Mind
800280,538543,2024-05-14 15:07:27,nan
800281,500764,2022-08-18 17:15:16,defective
800282,543337,2022-03-26 05:23:24,Changed Mind
800283,514192,2024-11-11 01:42:11,Changed Mind
800284,524344,2023-03-19 19:21:50,WRONG ITEM
800285,528476,2023-10-08 10:28:34,Wrong Item
800286,519880,2023-12-05 08:38:50,Changed Mind
800287,545567,2022-10-19 07:53:17,defective
800288,518830,2022-08-31 03:09:59,defective
800289,534633,2023-07-25 01:56:22,nan
800290,539718,2023-05-29 10:50:27,Wrong Item
800291,540254,2024-02-03 20:03:03,WRONG ITEM
800292,528455,2022-01-02 14:52:10,Defective
800293,530143,2023-09-19 21:59:59,nan
800294,530977,2023-12-19 15:09:06,Changed Mind
800295,523038,2024-01-06 18:44:44,Defective
800296,503824,2022-11-20 09:24:30,WRONG ITEM
800297,532490,2023-07-25 03:19:59,WRONG ITEM
800298,514069,2023-09-19 19:35:12,nan
800299,525055,2024-11-16 11:33:44,Changed Mind
800300,522484,2024-01-01 20:06:43,nan
800301,504318,2022-10-02 22:24:42,Defective
800302,511561,2024-09-02 16:02:39,defective
800303,522621,2024-03-04 21:24:11,defective
800304,519193,2024-08-13 06:00:49,nan
800305,516729,2024-05-30 22:54:11,nan
800306,538538,2024-03-12 12:08:44,WRONG ITEM
800307,503043,2024-01-26 05:14:02,nan
800308,535768,2023-07-06 15:59:40,nan
800309,523823,2024-11-21 21:17:24,nan
800310,537969,2022-09-09 03:20:58,Changed Mind
800311,509513,2024-12-14 04:04:13,nan
800312,525739,2023-07-25 06:01:08,WRONG ITEM
800313,523723,2023-04-10 15:19:10,nan
800314,520049,2023-03-03 14:13:05,WRONG ITEM
800315,536804,2024-01-01 21:07:28,Defective
800316,526169,2023-03-03 00:08:16,defective
800317,544689,2022-12-02 20:46:20,Defective
800318,548648,2024-08-04 12:32:13,defective
800319,537916,2024-12-14 20:34:50,nan
800320,511136,2024-12-13 00:32:45,Changed Mind
800321,539032,2024-07-04 01:05:12,Defective
800322,519225,2024-09-08 07:16:16,defective
800323,500761,2023-02-06 20:36:46,Defective
800324,502128,2022-10-22 00:57:24,nan
800325,525958,2022-10-28 22:37:06,Defective
800326,521397,2022-08-09 22:23:45,defective
800327,517049,2023-05-17 03:05:21,Changed Mind
800328,538356,2023-07-19 21:46:58,Changed Mind
800329,506520,2022-04-27 23:11:50,WRONG ITEM
800330,510005,2022-12-06 23:41:24,Changed Mind
800331,532551,2023-12-18 16:25:22,Changed Mind
800332,549037,2024-10-19 03:04:15,Wrong Item
800333,542653,2022-12-10 07:33:54,Changed Mind
800334,527222,2023-10-05 10:50:38,Wrong Item
800335,531943,2023-10-12 05:45:30,WRONG ITEM
800336,539042,2022-06-24 22:27:45,nan
800337,508623,2024-09-16 10:41:13,Wrong Item
800338,521289,2022-07-23 08:23:16,WRONG ITEM
800339,525570,2024-11-26 19:16:48,Wrong Item
800340,510816,2023-10-16 06:24:38,Defective
800341,516185,2022-12-01 22:36:45,defective
800342,531240,2023-05-05 04:17:04,defective
800343,522847,2024-01-07 17:59:36,Wrong Item
800344,514550,2023-11-19 15:05:45,Changed Mind
800345,501656,2023-01-12 14:47:16,Changed Mind
800346,541736,2022-05-23 08:19:04,WRONG ITEM
800347,534748,2023-02-25 09:37:09,nan
800348,504446,2023-01-13 05:24:36,nan
800349,525015,2024-06-26 19:05:41,Defective
800350,517906,2024-01-20 11:43:45,Defective
800351,509344,2023-12-16 08:59:22,defective
800352,502959,2022-01-08 11:14:47,Changed Mind
800353,520300,2024-12-18 02:47:10,Wrong Item
800354,526165,2022-09-08 20:01:41,Changed Mind
800355,513161,2022-12-04 09:45:19,Changed Mind
800356,509312,2023-12-12 06:35:38,Changed Mind
800357,548251,2023-04-07 21:32:56,Wrong Item
800358,524213,2022-10-01 22:58:50,defective
800359,519945,2023-05-22 04:20:57,defective
800360,514782,2022-02-13 16:35:44,nan
800361,505423,2023-03-04 05:26:14,WRONG ITEM
800362,522201,2023-03-06 09:52:02,nan
800363,517482,2024-08-28 19:39:40,nan
800364,520735,2024-08-10 21:59:08,defective
800365,521044,2022-11-18 16:14:18,nan
800366,515856,2023-05-07 13:37:38,Defective
800367,503140,2022-12-26 23:42:04,Changed Mind
800368,507012,2022-10-26 15:27:54,nan
800369,539201,2024-04-28 10:38:27,Defective
800370,517511,2024-03-01 01:28:41,Defective
800371,544333,2023-03-12 01:31:27,Defective
800372,501388,2024-08-31 15:54:05,Defective
800373,533052,2023-10-09 01:31:13,WRONG ITEM
800374,502845,2023-04-05 21:12:50,Defective
800375,513784,2022-11-07 12:18:17,nan
800376,532878,2022-10-07 03:50:32,Defective
800377,508820,2024-10-15 20:34:43,Defective
800378,520944,2024-01-23 07:39:47,nan
800379,521845,2024-06-23 02:33:53,Changed Mind
800380,549057,2022-03-17 22:24:50,defective
800381,504105,2024-01-26 08:35:34,Changed Mind
800382,549817,2022-02-20 00:36:52,Wrong Item
800383,513390,2024-03-18 09:42:42,WRONG ITEM
800384,528726,2023-07-17 19:45:47,WRONG ITEM
800385,528453,2023-03-18 20:41:38,defective
800386,531528,2024-02-24 04:55:59,Defective
800387,528298,2022-10-18 15:30:12,Wrong Item
800388,543362,2023-03-11 18:57:45,nan
800389,510999,2024-03-12 12:47:57,Changed Mind
800390,503073,2023-12-09 13:40:21,WRONG ITEM
800391,537170,2022-04-26 18:27:23,defective
800392,545904,2024-09-16 04:42:28,Changed Mind
800393,532741,2024-10-21 18:04:19,WRONG ITEM
800394,540087,2024-02-27 11:04:00,Changed Mind
800395,519335,2024-06-13 12:55:41,Wrong Item
800396,531188,2022-08-10 15:38:40,nan
800397,519305,2022-08-28 11:44:45,Wrong Item
800398,535766,2023-08-13 22:45:26,nan
800399,511583,2023-01-11 23:51:36,Defective
800400,537301,2023-06-27 10:44:29,Changed Mind
800401,511396,2023-06-06 03:56:05,nan
800402,545308,2022-03-25 23:25:38,Defective
800403,520578,2022-05-04 09:25:40,WRONG ITEM
800404,514215,2024-07-10 14:39:51,Changed Mind
800405,526069,2024-07-15 19:28:57,Defective
800406,515947,2023-03-02 02:31:40,Defective
800407,518780,2023-01-23 01:20:38,Wrong Item
800408,502699,2022-09-07 03:35:51,Changed Mind
800409,547282,2024-08-22 14:10:51,Changed Mind
800410,527975,2022-08-07 13:44:30,nan
800411,502888,2022-06-30 00:49:30,Defective
800412,503535,2023-05-04 04:24:05,nan
800413,509737,2024-07-13 08:58:20,Wrong Item
800414,524753,2024-05-07 21:03:10,defective
800415,510789,2023-08-16 21:41:51,Wrong Item
800416,543848,2022-08-02 00:43:26,Changed Mind
800417,515389,2024-11-25 15:34:47,nan
800418,504859,2023-07-31 00:23:50,Changed Mind
800419,514553,2023-08-10 10:19:44,WRONG ITEM
800420,533847,2024-09-14 09:34:53,Wrong Item
800421,514494,2024-12-02 23:11:26,Defective
800422,516561,2023-12-16 06:18:17,Defective
800423,543002,2022-06-06 08:09:43,Defective
800424,501510,2023-05-14 03:39:57,defective
800425,535489,2022-10-26 15:48:51,Defective
800426,512588,2023-08-24 15:05:59,Changed Mind
800427,545609,2023-08-26 19:25:09,nan
800428,536536,2023-03-05 17:38:56,nan
800429,531719,2023-12-02 13:00:22,Changed Mind
800430,534761,2023-07-02 12:35:39,Changed Mind
800431,547362,2024-01-27 06:11:21,Changed Mind
800432,515071,2023-07-16 17:28:44,nan
800433,543702,2024-12-07 00:32:03,WRONG ITEM
800434,527233,2022-09-02 08:51:14,WRONG ITEM
800435,525615,2022-12-11 04:22:59,Wrong Item
800436,536634,2022-06-22 21:17:26,nan
800437,545347,2023-02-08 09:28:24,Defective
800438,503000,2023-03-31 00:55:57,defective
800439,502600,2024-05-13 06:23:50,Changed Mind
800440,517695,2023-12-20 07:58:06,WRONG ITEM
800441,531323,2023-08-01 13:14:12,Defective
800442,520762,2022-04-25 21:13:41,defective
800443,526334,2023-12-23 13:30:59,Wrong Item
800444,545863,2022-04-21 02:59:31,Defective
800445,504795,2022-10-18 05:28:20,WRONG ITEM
800446,546248,2024-01-11 22:42:14,WRONG ITEM
800447,522568,2024-10-25 01:07:28,WRONG ITEM
800448,515123,2023-03-12 20:45:13,Wrong Item
800449,512357,2024-04-08 11:29:50,Wrong Item
800450,538011,2022-01-28 11:19:25,Changed Mind
800451,522912,2024-04-07 22:07:27,Defective
800452,518095,2022-06-12 13:43:45,WRONG ITEM
800453,535350,2022-01-19 00:06:44,Defective
800454,531572,2024-03-12 00:44:47,Changed Mind
800455,524481,2022-09-21 20:06:44,Defective
800456,548310,2022-05-22 17:51:20,Wrong Item
800457,522662,2022-01-09 04:59:19,Defective
800458,545979,2024-03-01 20:04:23,Changed Mind
800459,534206,2024-11-08 09:37:31,Changed Mind
800460,540589,2022-07-07 10:28:38,Wrong Item
800461,538388,2024-01-19 20:58:27,Wrong Item
800462,538864,2022-09-21 10:57:41,Changed Mind
800463,512810,2023-10-14 03:33:14,Changed Mind
800464,505756,2023-07-06 04:18:13,Changed Mind
800465,526712,2024-06-03 10:33:43,Changed Mind
800466,507921,2022-06-18 19:32:42,Wrong Item
800467,506441,2024-10-11 03:36:17,Defective
800468,523579,2024-08-13 03:36:37,WRONG ITEM
800469,506805,2024-08-21 17:09:54,WRONG ITEM
800470,533782,2022-08-22 08:33:18,Changed Mind
800471,522193,2024-09-16 17:33:59,Changed Mind
800472,503621,2024-06-03 22:06:22,defective
800473,506796,2022-04-20 18:45:19,Defective
800474,549612,2022-05-17 16:32:05,nan
800475,531913,2022-02-20 18:47:22,WRONG ITEM
800476,503735,2023-08-02 02:46:09,WRONG ITEM
800477,538824,2024-12-20 01:45:32,Defective
800478,531035,2022-01-21 16:01:46,WRONG ITEM
800479,546831,2022-04-27 04:15:26,WRONG ITEM
800480,539906,2024-11-08 02:33:49,Changed Mind
800481,519251,2024-05-27 16:45:28,nan
800482,520926,2023-08-03 14:38:59,Wrong Item
800483,539434,2024-09-13 03:01:08,WRONG ITEM
800484,543056,2024-02-28 09:57:57,Wrong Item
800485,545020,2023-12-09 12:14:58,Changed Mind
800486,505853,2024-12-03 21:51:01,nan
800487,538837,2022-03-31 07:38:38,defective
800488,531205,2022-03-23 07:31:28,Wrong Item
800489,540042,2022-04-17 19:32:07,Changed Mind
800490,527347,2023-03-21 11:01:08,WRONG ITEM
800491,518414,2023-04-22 16:55:35,WRONG ITEM
800492,514610,2024-07-31 19:04:54,Changed Mind
800493,535127,2024-04-07 17:14:23,Changed Mind
800494,519579,2024-08-02 04:24:35,defective
800495,517762,2023-10-09 16:08:39,Defective
800496,501262,2024-10-02 02:33:12,Defective
800497,518182,2022-04-29 23:48:42,defective
800498,503456,2023-12-19 04:33:06,defective
800499,528093,2022-10-24 19:41:14,nan
800500,520081,2022-05-02 15:15:15,Wrong Item
800501,523688,2022-02-21 12:47:01,Changed Mind
800502,543007,2023-08-11 20:29:03,Changed Mind
800503,539022,2023-06-05 07:00:12,nan
800504,513829,2022-10-06 19:37:14,WRONG ITEM
800505,535806,2024-04-28 10:16:25,Changed Mind
800506,522049,2024-05-19 06:43:54,nan
800507,528619,2023-01-29 14:06:28,Defective
800508,535620,2024-08-16 14:59:38,WRONG ITEM
800509,533435,2022-12-14 21:09:23,Defective
800510,521590,2023-03-27 15:35:47,WRONG ITEM
800511,519015,2023-07-08 07:46:00,defective
800512,521373,2023-09-12 17:30:51,Defective
800513,510233,2024-04-18 21:48:51,Wrong Item
800514,518514,2024-08-11 20:25:39,WRONG ITEM
800515,519466,2023-03-08 17:44:20,nan
800516,512664,2024-10-27 07:02:38,nan
800517,501862,2022-04-06 06:22:56,Wrong Item
800518,514853,2023-04-14 06:43:34,WRONG ITEM
800519,503808,2024-11-12 20:22:57,nan
800520,528002,2024-03-20 08:01:52,WRONG ITEM
800521,541208,2022-04-12 11:55:55,WRONG ITEM
800522,500523,2022-02-03 06:20:22,defective
800523,527171,2022-02-14 01:29:27,defective
800524,541999,2023-04-08 13:46:39,WRONG ITEM
800525,507288,2022-12-09 14:17:53,defective
800526,541548,2024-09-09 15:26:44,nan
800527,525379,2024-03-22 18:43:22,defective
800528,526734,2022-12-14 22:45:39,Wrong Item
800529,530437,2023-08-06 06:19:07,Defective
800530,502786,2022-01-03 03:32:43,nan
800531,523447,2023-11-27 13:23:25,Wrong Item
800532,503493,2024-01-23 06:20:57,Changed Mind
800533,503457,2023-08-04 16:02:47,Defective
800534,503726,2024-12-28 16:41:18,Defective
800535,528463,2023-08-24 10:56:14,Wrong Item
800536,501633,2022-11-15 03:41:11,Wrong Item
800537,548175,2024-12-28 22:30:38,WRONG ITEM
800538,545455,2023-07-26 05:35:28,Changed Mind
800539,546671,2023-05-28 08:01:09,WRONG ITEM
800540,534884,2022-05-29 21:09:25,WRONG ITEM
800541,530474,2024-09-25 14:56:33,nan
800542,507541,2023-04-30 10:20:42,defective
800543,533885,2022-10-27 02:35:00,Defective
800544,549650,2022-08-25 09:56:35,WRONG ITEM
800545,537682,2023-01-18 17:04:11,defective
800546,514080,2023-12-26 05:54:13,WRONG ITEM
800547,515497,2024-08-17 20:49:12,defective
800548,516883,2022-06-03 08:54:46,nan
800549,514587,2024-05-01 03:41:38,WRONG ITEM
800550,508888,2024-01-27 04:16:47,Changed Mind
800551,527955,2023-03-09 02:01:47,Wrong Item
800552,541424,2022-02-04 04:06:31,Wrong Item
800553,502268,2022-08-01 15:55:45,Defective
800554,508456,2023-05-04 19:46:32,Defective
800555,522092,2023-04-16 16:02:10,WRONG ITEM
800556,511952,2022-08-28 08:23:44,WRONG ITEM
800557,538219,2022-02-19 22:41:08,Changed Mind
800558,504931,2024-01-14 21:19:06,Changed Mind
800559,542176,2022-09-19 16:28:48,Changed Mind
800560,529027,2023-11-11 06:16:37,Changed Mind
800561,510744,2022-04-21 12:06:36,Wrong Item
800562,515110,2022-01-26 12:19:25,Wrong Item
800563,545762,2024-07-27 11:43:04,nan
800564,549117,2023-10-15 21:02:20,Defective
800565,513409,2024-10-12 04:42:00,nan
800566,512740,2022-05-15 13:53:28,Defective
800567,507645,2024-05-06 12:51:47,Wrong Item
800568,545524,2023-12-28 22:57:02,Defective
800569,526597,2024-06-30 14:42:52,Wrong Item
